time,temp,clouds
2026-02-08T00:00:00,15.6,6
2026-02-08T01:00:00,15.1,68
2026-02-08T02:00:00,14.8,1
2026-02-08T03:00:00,13.3,28
2026-02-08T04:00:00,12.6,43
2026-02-08T05:00:00,13.1,48
2026-02-08T06:00:00,13.5,63
2026-02-08T07:00:00,13.9,56
2026-02-08T08:00:00,16.1,24
2026-02-08T09:00:00,19.2,24
2026-02-08T10:00:00,21.3,25
2026-02-08T11:00:00,22.9,39
2026-02-08T12:00:00,24.2,90
2026-02-08T13:00:00,24.7,100
2026-02-08T14:00:00,24.4,100
2026-02-08T15:00:00,24.0,79
2026-02-08T16:00:00,23.4,93
2026-02-08T17:00:00,22.5,100
2026-02-08T18:00:00,20.7,91
2026-02-08T19:00:00,19.8,100
